,Unnamed: 0,siparis_id,musteri_id,siparis_tarihi,sehir,bolge,kategori,urun_adi,adet,birim_fiyat,indirim_orani,kargo_ucreti,odeme_turu,musteri_tipi,teslimat_gunu,musteri_puani,iade_durumu,kar_marji_orani,toplam_tutar,siparis_yili,siparis_ayi,siparis_gunu,haftanin_gunu
52,52,SIP100390,MUS1246,2025-01-04 08:27:00,Mersin,Akdeniz,Ev Yaşam,Termos,1,487.61,0.0,59.9,Kredi Kartı,Mevcut,2.0,3.0,Hayır,0.302,547.51,2025,1,4,Saturday
53,53,SIP101357,MUS1360,2025-03-15 09:14:00,Antalya,Akdeniz,Spor,Suluk,2,204.16,0.0,39.9,Dijital Cüzdan,Mevcut,2.0,4.0,Hayır,0.196,448.22,2025,3,15,Saturday
54,54,SIP100330,MUS1356,2024-01-10 08:44:00,Antalya,Akdeniz,Kozmetik,Şampuan,2,182.62,0.15,39.9,Kredi Kartı,Yeni,3.0,4.0,Hayır,0.394,350.35,2024,1,10,Wednesday
55,55,SIP100235,MUS1146,2024-02-08 08:19:00,Kocaeli,Marmara,Ev Yaşam,Saklama Kutusu,1,205.66,0.15,39.9,Banka Kartı,Yeni,1.0,5.0,Hayır,0.242,214.71,2024,2,8,Thursday
56,56,SIP100663,MUS1159,2024-05-14 09:52:00,Antalya,Akdeniz,Spor,Spor Çantası,1,879.86,0.0,39.9,Kapıda Ödeme,Mevcut,2.0,4.0,Hayır,0.212,919.76,2024,5,14,Tuesday
57,57,SIP100787,MUS1043,2024-05-19 15:48:00,İstanbul,Marmara,Elektronik,Powerbank,1,825.48,0.0,29.9,Kredi Kartı,Yeni,3.0,5.0,Hayır,0.313,855.38,2024,5,19,Sunday
58,58,SIP100626,MUS1086,2024-10-25 15:25:00,Konya,İç Anadolu,Elektronik,Bluetooth Hoparlör,1,1284.36,0.05,49.9,Dijital Cüzdan,Mevcut,5.0,5.0,Hayır,0.271,1270.04,2024,10,25,Friday
59,59,SIP100058,MUS1442,2025-05-31 14:53:00,Samsun,Karadeniz,Spor,Spor Çantası,1,1015.4,0.1,39.9,Dijital Cüzdan,Mevcut,1.0,4.0,Hayır,0.375,953.76,2025,5,31,Saturday
60,60,SIP100890,MUS1271,2024-11-07 19:47:00,İzmir,Ege,Kitap,Girişimcilik,4,216.38,0.05,49.9,Kredi Kartı,Yeni,1.0,3.0,Hayır,0.199,915.42,2024,11,7,Thursday
62,62,SIP100850,MUS1349,2025-05-25 18:06:00,İstanbul,Marmara,Elektronik,Bluetooth Hoparlör,2,1252.71,0.15,39.9,Dijital Cüzdan,Yeni,2.0,4.0,Hayır,0.209,2169.51,2025,5,25,Sunday
63,63,SIP100792,MUS1393,2024-05-05 11:53:00,Ankara,İç Anadolu,Kozmetik,Şampuan,1,195.73,0.0,39.9,Kredi Kartı,Mevcut,2.0,4.0,Hayır,0.181,235.63,2024,5,5,Sunday
64,64,SIP100288,MUS1253,2025-06-17 10:43:00,Eskişehir,İç Anadolu,Ev Yaşam,Organizer,1,275.95,0.0,39.9,Kredi Kartı,Yeni,5.0,5.0,Hayır,0.289,315.85,2025,6,17,Tuesday
65,65,SIP100882,MUS1422,2024-04-23 09:50:00,Adana,Akdeniz,Spor,Direnç Bandı,4,249.76,0.1,29.9,Banka Kartı,Mevcut,3.0,5.0,Hayır,0.306,929.04,2024,4,23,Tuesday
66,66,SIP100561,MUS1123,2025-10-23 14:53:00,İzmir,Ege,Ev Yaşam,Masa Lambası,2,708.02,0.1,29.9,Kredi Kartı,Yeni,4.0,5.0,Hayır,0.267,1304.34,2025,10,23,Thursday
67,67,SIP100127,MUS1080,2025-11-17 19:44:00,İstanbul,Marmara,Spor,Suluk,1,188.3,0.0,39.9,Dijital Cüzdan,Mevcut,1.0,5.0,Hayır,0.232,228.2,2025,11,17,Monday
68,68,SIP100603,MUS1427,2024-04-25 19:03:00,İzmir,Ege,Kitap,Veri Bilimi 101,2,241.84,0.0,29.9,Kredi Kartı,Mevcut,4.0,5.0,Hayır,0.34,513.58,2024,4,25,Thursday
69,69,SIP101003,MUS1196,2025-11-13 15:04:00,İstanbul,Marmara,Kitap,İş Analitiği Rehberi,2,273.31,0.1,49.9,Kredi Kartı,Mevcut,5.0,3.0,Hayır,0.19,541.86,2025,11,13,Thursday
70,70,SIP100715,MUS1033,2024-11-10 21:50:00,İstanbul,Marmara,Ev Yaşam,Termos,1,552.05,0.0,39.9,Kredi Kartı,Mevcut,2.0,3.0,Hayır,0.185,591.95,2024,11,10,Sunday
72,72,SIP101096,MUS1366,2025-11-12 12:07:00,İstanbul,Marmara,Ev Yaşam,Kahve Kupası,2,177.9,0.0,29.9,Kredi Kartı,Mevcut,4.0,5.0,Hayır,0.36,385.7,2025,11,12,Wednesday
73,73,SIP101364,MUS1267,2024-04-17 14:44:00,Bursa,Marmara,Kitap,Veri Bilimi 101,1,228.47,0.05,29.9,Kredi Kartı,Yeni,4.0,3.0,Evet,0.252,246.95,2024,4,17,Wednesday
74,74,SIP100936,MUS1100,2024-02-18 12:58:00,İstanbul,Marmara,Kitap,Python Notları,2,221.68,0.0,39.9,Kredi Kartı,Mevcut,4.0,3.0,Evet,0.36,483.26,2024,2,18,Sunday
75,75,SIP100543,MUS1101,2024-04-12 19:17:00,İstanbul,Marmara,Kozmetik,Nemlendirici,2,385.54,0.0,59.9,Kapıda Ödeme,Mevcut,5.0,5.0,Hayır,0.374,830.98,2024,4,12,Friday
76,76,SIP100145,MUS1137,2025-11-22 18:35:00,Antalya,Akdeniz,Kozmetik,Serum,2,487.5,0.1,49.9,Kredi Kartı,VIP,3.0,5.0,Hayır,0.281,927.4,2025,11,22,Saturday
79,79,SIP100582,MUS1213,2024-03-22 15:51:00,İstanbul,Marmara,Ev Yaşam,Kahve Kupası,1,200.91,0.0,29.9,Banka Kartı,Mevcut,2.0,3.0,Hayır,0.274,170.76,2024,3,22,Friday
80,80,SIP101275,MUS1072,2025-08-19 08:40:00,Bursa,Marmara,Ev Yaşam,Termos,1,498.47,0.05,29.9,Dijital Cüzdan,Yeni,5.0,5.0,Evet,0.397,503.45,2025,8,19,Tuesday
81,81,SIP100743,MUS1360,2024-04-26 18:30:00,Trabzon,Karadeniz,Ev Yaşam,Organizer,1,253.72,0.0,39.9,Havale/EFT,Mevcut,1.0,4.0,Hayır,0.278,293.62,2024,4,26,Friday
82,82,SIP100807,MUS1431,2025-01-07 14:12:00,Ankara,İç Anadolu,Kozmetik,Güneş Kremi,1,451.28,0.0,49.9,Kredi Kartı,Mevcut,4.0,5.0,Hayır,0.315,501.18,2025,1,7,Tuesday
83,83,SIP100467,MUS1017,2024-05-29 21:03:00,Trabzon,Karadeniz,Kitap,İş Analitiği Rehberi,5,292.58,0.15,59.9,Havale/EFT,Yeni,5.0,4.0,Hayır,0.361,1303.36,2024,5,29,Wednesday
84,84,SIP100679,MUS1310,2024-05-20 18:51:00,İzmir,Ege,Ev Yaşam,Termos,2,477.62,0.0,49.9,Kredi Kartı,Mevcut,3.0,4.0,Hayır,0.323,1005.14,2024,5,20,Monday
85,85,SIP100667,MUS1281,2024-11-05 16:29:00,Ankara,İç Anadolu,Kitap,Veri Bilimi 101,1,227.3,0.15,39.9,Kredi Kartı,Mevcut,2.0,5.0,Hayır,0.388,233.1,2024,11,5,Tuesday
86,86,SIP101071,MUS1131,2024-09-18 12:24:00,İstanbul,İç Anadolu,Elektronik,Powerbank,1,816.74,0.0,39.9,Banka Kartı,Yeni,3.0,5.0,Hayır,0.301,856.64,2024,9,18,Wednesday
87,87,SIP100854,MUS1205,2025-01-25 09:25:00,Gaziantep,Güneydoğu Anadolu,Kozmetik,Serum,3,530.1,0.05,29.9,Kredi Kartı,Yeni,6.0,5.0,Hayır,0.328,1540.69,2025,1,25,Saturday
89,89,SIP100063,MUS1249,2025-07-13 20:38:00,Eskişehir,İç Anadolu,Spor,Spor Çantası,3,896.11,0.0,0.0,Dijital Cüzdan,Mevcut,1.0,5.0,Hayır,0.328,2688.33,2025,7,13,Sunday
90,90,SIP100836,MUS1148,2024-08-17 19:13:00,Mersin,Akdeniz,Spor,Yoga Matı,2,737.33,0.05,39.9,Kredi Kartı,Mevcut,2.0,5.0,Hayır,0.388,1440.83,2024,8,17,Saturday
91,91,SIP100637,MUS1313,2024-03-30 08:06:00,Mersin,Akdeniz,Ofis,Mouse Pad,1,167.61,0.0,29.9,Kredi Kartı,Yeni,3.0,5.0,Hayır,0.283,197.51,2024,3,30,Saturday
92,92,SIP101366,MUS1347,2025-03-04 14:00:00,Bursa,Marmara,Ev Yaşam,Organizer,1,272.4,0.0,29.9,Kredi Kartı,Mevcut,1.0,4.0,Hayır,0.212,302.3,2025,3,4,Tuesday
93,93,SIP100971,MUS1117,2025-04-28 18:32:00,Samsun,Karadeniz,Kozmetik,Yüz Temizleme Jeli,1,337.35,0.0,29.9,Dijital Cüzdan,VIP,3.0,3.0,Hayır,0.35,367.25,2025,4,28,Monday
95,95,SIP101276,MUS1373,2025-08-04 16:55:00,Eskişehir,İç Anadolu,Ofis,Not Tutucu,1,146.83,0.0,29.9,Kredi Kartı,Yeni,4.0,4.0,Hayır,0.276,176.73,2025,8,4,Monday
97,97,SIP101368,MUS1383,2025-06-15 17:16:00,Konya,İç Anadolu,Kitap,İş Analitiği Rehberi,2,307.08,0.15,49.9,Kredi Kartı,Yeni,2.0,5.0,Hayır,0.289,571.94,2025,6,15,Sunday
98,98,SIP101138,MUS1045,2025-03-07 16:36:00,Ankara,İç Anadolu,Elektronik,Powerbank,1,749.66,0.05,39.9,Havale/EFT,Mevcut,3.0,4.0,Hayır,0.304,752.08,2025,3,7,Friday
99,99,SIP100770,MUS1133,2025-12-11 21:07:00,Kayseri,İç Anadolu,Kitap,Zaman Yönetimi,1,166.83,0.05,49.9,Kredi Kartı,Mevcut,5.0,4.0,Evet,0.316,208.39,2025,12,11,Thursday
100,100,SIP100029,MUS1030,2024-10-30 11:03:00,Gaziantep,Güneydoğu Anadolu,Ev Yaşam,Masa Lambası,2,683.74,0.2,59.9,Banka Kartı,Mevcut,3.0,5.0,Hayır,0.411,1153.88,2024,10,30,Wednesday
102,102,SIP101079,MUS1065,2025-08-29 10:16:00,Antalya,Akdeniz,Spor,Direnç Bandı,2,250.14,0.05,49.9,Kredi Kartı,Mevcut,3.0,3.0,Hayır,0.221,525.17,2025,8,29,Friday
104,104,SIP100671,MUS1072,2025-01-23 13:31:00,İstanbul,Marmara,Elektronik,Powerbank,2,865.6,0.05,0.0,Banka Kartı,Yeni,5.0,3.0,Hayır,0.336,1731.2,2025,1,23,Thursday
106,106,SIP100402,MUS1203,2024-10-09 14:09:00,Konya,İç Anadolu,Elektronik,Bluetooth Hoparlör,2,1251.52,0.0,29.9,Banka Kartı,Mevcut,2.0,5.0,Hayır,0.272,2532.94,2024,10,9,Wednesday
107,107,SIP100301,MUS1073,2024-10-29 14:58:00,Trabzon,Karadeniz,Spor,Yoga Matı,1,721.42,0.05,49.9,Dijital Cüzdan,Yeni,6.0,5.0,Hayır,0.346,735.25,2024,10,29,Tuesday
109,109,SIP100799,MUS1338,2024-11-15 19:24:00,İstanbul,Marmara,Spor,Dambıl Seti,1,1523.96,0.05,49.9,Kredi Kartı,Yeni,4.0,5.0,Hayır,0.313,1497.66,2024,11,15,Friday
111,111,SIP101326,MUS1420,2025-05-03 19:08:00,Gaziantep,Güneydoğu Anadolu,Spor,Suluk,3,198.8,0.05,39.9,Havale/EFT,Mevcut,5.0,5.0,Hayır,0.22,606.48,2025,5,3,Saturday
112,112,SIP100731,MUS1390,2024-03-02 12:08:00,İstanbul,Marmara,Kitap,Girişimcilik,2,193.69,0.1,39.9,Kredi Kartı,Mevcut,2.0,3.0,Hayır,0.408,388.54,2024,3,2,Saturday
113,113,SIP100607,MUS1340,2024-02-24 15:41:00,Kocaeli,Marmara,Kozmetik,Güneş Kremi,2,456.42,0.05,39.9,Dijital Cüzdan,Yeni,1.0,5.0,Hayır,0.225,907.1,2024,2,24,Saturday
114,114,SIP100108,MUS1241,2024-01-16 19:09:00,İzmir,Ege,Kozmetik,Şampuan,1,189.97,0.05,39.9,Kredi Kartı,Mevcut,2.0,4.0,Hayır,0.408,220.37,2024,1,16,Tuesday
115,115,SIP101313,MUS1402,2025-09-15 11:51:00,Eskişehir,İç Anadolu,Elektronik,Kablosuz Kulaklık,2,1529.18,0.1,39.9,Kredi Kartı,Mevcut,6.0,3.0,Hayır,0.375,2792.42,2025,9,15,Monday
116,116,SIP100510,MUS1113,2024-03-28 11:28:00,Konya,İç Anadolu,Kitap,İş Analitiği Rehberi,1,285.4,0.0,0.0,Banka Kartı,Mevcut,5.0,4.0,Hayır,0.209,285.4,2024,3,28,Thursday
117,117,SIP101238,MUS1352,2025-11-10 21:55:00,Ankara,İç Anadolu,Ofis,Kalem Seti,2,108.89,0.1,39.9,Dijital Cüzdan,Mevcut,1.0,5.0,Hayır,0.246,235.9,2025,11,10,Monday
118,118,SIP101380,MUS1344,2025-10-29 13:11:00,Adana,Akdeniz,Kozmetik,Şampuan,1,182.67,0.0,29.9,Kredi Kartı,Mevcut,4.0,4.0,Hayır,0.253,212.57,2025,10,29,Wednesday
119,119,SIP100777,MUS1186,2024-04-29 21:08:00,İstanbul,Marmara,Spor,Yoga Matı,1,681.47,0.0,49.9,Dijital Cüzdan,Mevcut,3.0,4.0,Hayır,0.413,731.37,2024,4,29,Monday
120,120,SIP100681,MUS1280,2025-05-25 21:46:00,İzmir,Ege,Elektronik,Powerbank,1,749.85,0.0,49.9,Kredi Kartı,Mevcut,2.0,3.0,Hayır,0.375,799.75,2025,5,25,Sunday
121,121,SIP100548,MUS1378,2024-06-27 20:18:00,Antalya,Akdeniz,Kitap,Girişimcilik,2,230.54,0.1,39.9,Kredi Kartı,Mevcut,5.0,5.0,Hayır,0.192,454.87,2024,6,27,Thursday
122,122,SIP100540,MUS1186,2025-12-06 08:00:00,Adana,Akdeniz,Spor,Suluk,3,217.68,0.05,29.9,Kredi Kartı,Mevcut,4.0,4.0,Hayır,0.281,650.29,2025,12,6,Saturday
123,123,SIP100087,MUS1391,2024-11-08 17:39:00,Ankara,İç Anadolu,Kozmetik,Şampuan,1,204.16,0.1,39.9,Kredi Kartı,VIP,2.0,4.0,Hayır,0.359,223.64,2024,11,8,Friday
124,124,SIP101365,MUS1412,2025-03-24 21:07:00,Gaziantep,Güneydoğu Anadolu,Ev Yaşam,Masa Lambası,1,694.4,0.1,39.9,Kredi Kartı,Mevcut,2.0,5.0,Hayır,0.321,664.86,2025,3,24,Monday
125,125,SIP100888,MUS1032,2024-03-12 09:21:00,İzmir,Ege,Elektronik,Powerbank,2,818.54,0.2,0.0,Kredi Kartı,VIP,4.0,3.0,Hayır,0.39,1309.66,2024,3,12,Tuesday
126,126,SIP100991,MUS1125,2025-11-17 19:29:00,İstanbul,Marmara,Ev Yaşam,Saklama Kutusu,2,209.24,0.0,0.0,Kredi Kartı,Yeni,6.0,4.0,Hayır,0.21,418.48,2025,11,17,Monday
127,127,SIP100223,MUS1212,2025-08-09 19:07:00,Mersin,Akdeniz,Ev Yaşam,Termos,1,467.94,0.1,49.9,Kredi Kartı,Mevcut,3.0,5.0,Hayır,0.356,471.05,2025,8,9,Saturday
128,128,SIP100940,MUS1032,2025-03-25 20:06:00,Samsun,Karadeniz,Kozmetik,Serum,1,507.46,0.15,39.9,Banka Kartı,Mevcut,3.0,4.0,Evet,0.402,471.24,2025,3,25,Tuesday
130,130,SIP100848,MUS1384,2024-05-06 13:05:00,İstanbul,Marmara,Kitap,Python Notları,2,232.08,0.0,39.9,Kredi Kartı,Yeni,2.0,4.0,Hayır,0.339,504.06,2024,5,6,Monday
131,131,SIP101255,MUS1305,2024-02-25 09:03:00,Kocaeli,Marmara,Kozmetik,Şampuan,1,200.69,0.1,49.9,Kredi Kartı,VIP,2.0,5.0,Hayır,0.394,230.52,2024,2,25,Sunday
132,132,SIP100931,MUS1253,2024-07-19 21:40:00,Adana,Akdeniz,Ev Yaşam,Termos,2,491.34,0.0,39.9,Kredi Kartı,Mevcut,2.0,5.0,Hayır,0.234,1022.58,2024,7,19,Friday
133,133,SIP101328,MUS1266,2024-10-13 20:06:00,İstanbul,Marmara,Kitap,Girişimcilik,3,202.54,0.1,49.9,Kredi Kartı,Mevcut,5.0,5.0,Evet,0.266,596.76,2024,10,13,Sunday
134,134,SIP100064,MUS1202,2024-06-18 21:29:00,İstanbul,Marmara,Ofis,Not Tutucu,1,131.4,0.05,49.9,Dijital Cüzdan,VIP,4.0,4.0,Hayır,0.385,174.73,2024,6,18,Tuesday
136,136,SIP101308,MUS1022,2025-11-01 08:11:00,Konya,İç Anadolu,Ev Yaşam,Termos,2,550.5,0.0,59.9,Havale/EFT,Mevcut,3.0,5.0,Hayır,0.319,1160.9,2025,11,1,Saturday
139,139,SIP101304,MUS1165,2025-10-30 20:49:00,Ankara,İç Anadolu,Ofis,Mouse Pad,1,153.63,0.0,49.9,Banka Kartı,Yeni,7.0,5.0,Hayır,0.229,203.53,2025,10,30,Thursday
140,140,SIP100157,MUS1309,2025-10-22 21:09:00,İstanbul,Marmara,Ofis,Mouse Pad,2,173.36,0.1,29.9,Kredi Kartı,Yeni,2.0,4.0,Hayır,0.338,341.95,2025,10,22,Wednesday
141,141,SIP101015,MUS1247,2024-09-20 14:29:00,İstanbul,Marmara,Kitap,Python Notları,5,235.34,0.1,49.9,Kredi Kartı,Yeni,5.0,5.0,Hayır,0.3,1108.93,2024,9,20,Friday
142,142,SIP100867,MUS1097,2024-05-08 10:00:00,Adana,Akdeniz,Ofis,Defter Seti,1,157.83,0.0,39.9,Kredi Kartı,Mevcut,5.0,4.0,Hayır,0.301,197.73,2024,5,8,Wednesday
143,143,SIP100077,MUS1389,2024-01-11 16:12:00,Adana,Akdeniz,Ofis,Kalem Seti,2,100.82,0.0,39.9,Kredi Kartı,Mevcut,5.0,4.0,Hayır,0.265,241.54,2024,1,11,Thursday
